slot_id,date,time,center,vehicle_name,status,is_high_risk_reserve,priority_level
1,2025-12-15,09:30,CarWale Service - Chembur,Car A,booked,True,medium
2,2025-12-15,09:30,GoMechanic - Chembur East,,available,True,emergency
3,2025-12-15,09:30,MyTVS - Tilak Nagar,,available,True,emergency
4,2025-12-15,09:30,Pitstop - Ghatkopar,,available,True,emergency
5,2025-12-15,09:30,CarCrew - Vikhroli,,available,True,emergency
6,2025-12-15,09:30,Bosch Car Service - Mulund,Car A,booked,True,medium
7,2025-12-15,09:30,MyCarHelpline - Kanjurmarg,,available,True,emergency
8,2025-12-15,09:30,GoMechanic - Bhandup,,available,True,emergency
9,2025-12-15,09:30,Autofit - Nahur,,available,True,emergency
10,2025-12-15,09:30,CarFix - Vikhroli West,,available,False,normal
11,2025-12-15,09:30,GoMechanic - Andheri East,,available,False,normal
12,2025-12-15,09:30,Pitstop - Andheri West,,available,False,normal
13,2025-12-15,09:30,CarCrew - Malad West,,available,False,normal
14,2025-12-15,09:30,MyTVS - Goregaon East,,available,False,normal
15,2025-12-15,09:30,Bosch - Borivali West,,available,False,normal
16,2025-12-15,09:30,CarDekho - Kandivali,,available,False,normal
17,2025-12-15,09:30,Pitstop - Juhu,,available,False,normal
18,2025-12-15,09:30,GoMechanic - Santacruz,,available,False,normal
19,2025-12-15,09:30,MyTVS - Bandra East,,available,False,normal
20,2025-12-15,09:30,Autofit - Khar West,,available,False,normal
21,2025-12-15,09:30,CarWale - Lokhandwala,,available,False,normal
22,2025-12-15,09:30,CarFix - Versova,,available,False,normal
23,2025-12-15,09:30,CarFix - Dadar,,available,False,normal
24,2025-12-15,09:30,MyTVS - Sion,,available,False,normal
25,2025-12-15,09:30,Bosch Car Service - Parel,,available,True,emergency
26,2025-12-15,09:30,CarDekho - Bandra West,,available,True,emergency
27,2025-12-15,09:30,Pitstop - Worli,,available,True,emergency
28,2025-12-15,09:30,GoMechanic - Lower Parel,,available,True,emergency
29,2025-12-15,09:30,MyCarHelpline - Matunga,,available,True,emergency
30,2025-12-15,09:30,CarCrew - Prabhadevi,,available,True,emergency
31,2025-12-15,09:30,MyTVS - Thane West,,available,True,emergency
32,2025-12-15,09:30,Bosch - Thane East,,available,True,emergency
33,2025-12-15,09:30,Pitstop - Ghodbunder,,available,True,emergency
34,2025-12-15,09:30,GoMechanic - Wagle Estate,,available,True,emergency
35,2025-12-15,09:30,CarWale - Kalwa,,available,False,normal
36,2025-12-15,09:30,Autofit - Pokhran Road,,available,False,normal
37,2025-12-15,09:30,CarFix - Kasarvadavali,,available,False,normal
38,2025-12-15,09:30,MyTVS - Manpada,,available,False,normal
39,2025-12-15,09:30,Bosch - Vashi,,available,False,normal
40,2025-12-15,09:30,CarWale - Nerul,,available,False,normal
41,2025-12-15,09:30,Pitstop - Sanpada,,available,False,normal
42,2025-12-15,09:30,GoMechanic - Airoli,,available,False,normal
43,2025-12-15,09:30,MyTVS - Rabale,,available,False,normal
44,2025-12-15,09:30,CarCrew - Ghansoli,,available,False,normal
45,2025-12-15,09:30,Autofit - Koparkhairne,,available,False,normal
46,2025-12-15,09:30,CarDekho - Panvel,,available,False,normal
47,2025-12-15,09:30,Pitstop - Powai,,available,False,normal
48,2025-12-15,09:30,GoMechanic - JVLR,,available,False,normal
49,2025-12-15,09:30,MyCarHelpline - Hiranandani,,available,False,normal
50,2025-12-15,09:30,CarFix - Chandivali,,available,True,emergency
51,2025-12-15,09:30,Bosch - Kurla,,available,True,emergency
52,2025-12-15,09:30,CarWale - Ghatkopar West,,available,True,emergency
53,2025-12-15,10:30,CarWale Service - Chembur,Car A,booked,True,medium
54,2025-12-15,10:30,GoMechanic - Chembur East,,available,True,emergency
55,2025-12-15,10:30,MyTVS - Tilak Nagar,,available,True,emergency
56,2025-12-15,10:30,Pitstop - Ghatkopar,,available,True,emergency
57,2025-12-15,10:30,CarCrew - Vikhroli,,available,True,emergency
58,2025-12-15,10:30,Bosch Car Service - Mulund,,available,True,emergency
59,2025-12-15,10:30,MyCarHelpline - Kanjurmarg,,available,True,emergency
60,2025-12-15,10:30,GoMechanic - Bhandup,,available,False,normal
61,2025-12-15,10:30,Autofit - Nahur,,available,False,normal
62,2025-12-15,10:30,CarFix - Vikhroli West,,available,False,normal
63,2025-12-15,10:30,GoMechanic - Andheri East,,available,False,normal
64,2025-12-15,10:30,Pitstop - Andheri West,,available,False,normal
65,2025-12-15,10:30,CarCrew - Malad West,,available,False,normal
66,2025-12-15,10:30,MyTVS - Goregaon East,,available,False,normal
67,2025-12-15,10:30,Bosch - Borivali West,,available,False,normal
68,2025-12-15,10:30,CarDekho - Kandivali,,available,False,normal
69,2025-12-15,10:30,Pitstop - Juhu,,available,False,normal
70,2025-12-15,10:30,GoMechanic - Santacruz,,available,False,normal
71,2025-12-15,10:30,MyTVS - Bandra East,,available,False,normal
72,2025-12-15,10:30,Autofit - Khar West,,available,False,normal
73,2025-12-15,10:30,CarWale - Lokhandwala,,available,False,normal
74,2025-12-15,10:30,CarFix - Versova,,available,False,normal
75,2025-12-15,10:30,CarFix - Dadar,,available,True,emergency
76,2025-12-15,10:30,MyTVS - Sion,,available,True,emergency
77,2025-12-15,10:30,Bosch Car Service - Parel,,available,True,emergency
78,2025-12-15,10:30,CarDekho - Bandra West,,available,True,emergency
79,2025-12-15,10:30,Pitstop - Worli,,available,True,emergency
80,2025-12-15,10:30,GoMechanic - Lower Parel,,available,True,emergency
81,2025-12-15,10:30,MyCarHelpline - Matunga,,available,True,emergency
82,2025-12-15,10:30,CarCrew - Prabhadevi,,available,True,emergency
83,2025-12-15,10:30,MyTVS - Thane West,,available,True,emergency
84,2025-12-15,10:30,Bosch - Thane East,,available,True,emergency
85,2025-12-15,10:30,Pitstop - Ghodbunder,,available,False,normal
86,2025-12-15,10:30,GoMechanic - Wagle Estate,,available,False,normal
87,2025-12-15,10:30,CarWale - Kalwa,,available,False,normal
88,2025-12-15,10:30,Autofit - Pokhran Road,,available,False,normal
89,2025-12-15,10:30,CarFix - Kasarvadavali,,available,False,normal
90,2025-12-15,10:30,MyTVS - Manpada,,available,False,normal
91,2025-12-15,10:30,Bosch - Vashi,,available,False,normal
92,2025-12-15,10:30,CarWale - Nerul,,available,False,normal
93,2025-12-15,10:30,Pitstop - Sanpada,,available,False,normal
94,2025-12-15,10:30,GoMechanic - Airoli,,available,False,normal
95,2025-12-15,10:30,MyTVS - Rabale,,available,False,normal
96,2025-12-15,10:30,CarCrew - Ghansoli,,available,False,normal
97,2025-12-15,10:30,Autofit - Koparkhairne,,available,False,normal
98,2025-12-15,10:30,CarDekho - Panvel,,available,False,normal
99,2025-12-15,10:30,Pitstop - Powai,,available,False,normal
100,2025-12-15,10:30,GoMechanic - JVLR,,available,True,emergency
101,2025-12-15,10:30,MyCarHelpline - Hiranandani,,available,True,emergency
102,2025-12-15,10:30,CarFix - Chandivali,,available,True,emergency
103,2025-12-15,10:30,Bosch - Kurla,,available,True,emergency
104,2025-12-15,10:30,CarWale - Ghatkopar West,,available,True,emergency
105,2025-12-15,14:00,CarWale Service - Chembur,Car A,booked,True,medium
106,2025-12-15,14:00,GoMechanic - Chembur East,,available,True,emergency
107,2025-12-15,14:00,MyTVS - Tilak Nagar,,available,True,emergency
108,2025-12-15,14:00,Pitstop - Ghatkopar,,available,True,emergency
109,2025-12-15,14:00,CarCrew - Vikhroli,,available,True,emergency
110,2025-12-15,14:00,Bosch Car Service - Mulund,,available,False,normal
111,2025-12-15,14:00,MyCarHelpline - Kanjurmarg,,available,False,normal
112,2025-12-15,14:00,GoMechanic - Bhandup,,available,False,normal
113,2025-12-15,14:00,Autofit - Nahur,,available,False,normal
114,2025-12-15,14:00,CarFix - Vikhroli West,,available,False,normal
115,2025-12-15,14:00,GoMechanic - Andheri East,,available,False,normal
116,2025-12-15,14:00,Pitstop - Andheri West,,available,False,normal
117,2025-12-15,14:00,CarCrew - Malad West,,available,False,normal
118,2025-12-15,14:00,MyTVS - Goregaon East,,available,False,normal
119,2025-12-15,14:00,Bosch - Borivali West,,available,False,normal
120,2025-12-15,14:00,CarDekho - Kandivali,,available,False,normal
121,2025-12-15,14:00,Pitstop - Juhu,,available,False,normal
122,2025-12-15,14:00,GoMechanic - Santacruz,,available,False,normal
123,2025-12-15,14:00,MyTVS - Bandra East,,available,False,normal
124,2025-12-15,14:00,Autofit - Khar West,,available,False,normal
125,2025-12-15,14:00,CarWale - Lokhandwala,,available,True,emergency
126,2025-12-15,14:00,CarFix - Versova,,available,True,emergency
127,2025-12-15,14:00,CarFix - Dadar,,available,True,emergency
128,2025-12-15,14:00,MyTVS - Sion,,available,True,emergency
129,2025-12-15,14:00,Bosch Car Service - Parel,,available,True,emergency
130,2025-12-15,14:00,CarDekho - Bandra West,,available,True,emergency
131,2025-12-15,14:00,Pitstop - Worli,,available,True,emergency
132,2025-12-15,14:00,GoMechanic - Lower Parel,,available,True,emergency
133,2025-12-15,14:00,MyCarHelpline - Matunga,,available,True,emergency
134,2025-12-15,14:00,CarCrew - Prabhadevi,,available,True,emergency
135,2025-12-15,14:00,MyTVS - Thane West,,available,False,normal
136,2025-12-15,14:00,Bosch - Thane East,,available,False,normal
137,2025-12-15,14:00,Pitstop - Ghodbunder,,available,False,normal
138,2025-12-15,14:00,GoMechanic - Wagle Estate,,available,False,normal
139,2025-12-15,14:00,CarWale - Kalwa,,available,False,normal
140,2025-12-15,14:00,Autofit - Pokhran Road,,available,False,normal
141,2025-12-15,14:00,CarFix - Kasarvadavali,,available,False,normal
142,2025-12-15,14:00,MyTVS - Manpada,,available,False,normal
143,2025-12-15,14:00,Bosch - Vashi,,available,False,normal
144,2025-12-15,14:00,CarWale - Nerul,,available,False,normal
145,2025-12-15,14:00,Pitstop - Sanpada,,available,False,normal
146,2025-12-15,14:00,GoMechanic - Airoli,,available,False,normal
147,2025-12-15,14:00,MyTVS - Rabale,,available,False,normal
148,2025-12-15,14:00,CarCrew - Ghansoli,,available,False,normal
149,2025-12-15,14:00,Autofit - Koparkhairne,,available,False,normal
150,2025-12-15,14:00,CarDekho - Panvel,,available,True,emergency
151,2025-12-15,14:00,Pitstop - Powai,,available,True,emergency
152,2025-12-15,14:00,GoMechanic - JVLR,,available,True,emergency
153,2025-12-15,14:00,MyCarHelpline - Hiranandani,,available,True,emergency
154,2025-12-15,14:00,CarFix - Chandivali,,available,True,emergency
155,2025-12-15,14:00,Bosch - Kurla,,available,True,emergency
156,2025-12-15,14:00,CarWale - Ghatkopar West,,available,True,emergency
157,2025-12-15,15:30,CarWale Service - Chembur,,available,True,emergency
158,2025-12-15,15:30,GoMechanic - Chembur East,,available,True,emergency
159,2025-12-15,15:30,MyTVS - Tilak Nagar,,available,True,emergency
160,2025-12-15,15:30,Pitstop - Ghatkopar,,available,False,normal
161,2025-12-15,15:30,CarCrew - Vikhroli,,available,False,normal
162,2025-12-15,15:30,Bosch Car Service - Mulund,,available,False,normal
163,2025-12-15,15:30,MyCarHelpline - Kanjurmarg,,available,False,normal
164,2025-12-15,15:30,GoMechanic - Bhandup,,available,False,normal
165,2025-12-15,15:30,Autofit - Nahur,,available,False,normal
166,2025-12-15,15:30,CarFix - Vikhroli West,,available,False,normal
167,2025-12-15,15:30,GoMechanic - Andheri East,,available,False,normal
168,2025-12-15,15:30,Pitstop - Andheri West,,available,False,normal
169,2025-12-15,15:30,CarCrew - Malad West,,available,False,normal
170,2025-12-15,15:30,MyTVS - Goregaon East,,available,False,normal
171,2025-12-15,15:30,Bosch - Borivali West,,available,False,normal
172,2025-12-15,15:30,CarDekho - Kandivali,,available,False,normal
173,2025-12-15,15:30,Pitstop - Juhu,,available,False,normal
174,2025-12-15,15:30,GoMechanic - Santacruz,,available,False,normal
175,2025-12-15,15:30,MyTVS - Bandra East,,available,True,emergency
176,2025-12-15,15:30,Autofit - Khar West,,available,True,emergency
177,2025-12-15,15:30,CarWale - Lokhandwala,,available,True,emergency
178,2025-12-15,15:30,CarFix - Versova,,available,True,emergency
179,2025-12-15,15:30,CarFix - Dadar,,available,True,emergency
180,2025-12-15,15:30,MyTVS - Sion,,available,True,emergency
181,2025-12-15,15:30,Bosch Car Service - Parel,,available,True,emergency
182,2025-12-15,15:30,CarDekho - Bandra West,,available,True,emergency
183,2025-12-15,15:30,Pitstop - Worli,,available,True,emergency
184,2025-12-15,15:30,GoMechanic - Lower Parel,,available,True,emergency
185,2025-12-15,15:30,MyCarHelpline - Matunga,,available,False,normal
186,2025-12-15,15:30,CarCrew - Prabhadevi,,available,False,normal
187,2025-12-15,15:30,MyTVS - Thane West,,available,False,normal
188,2025-12-15,15:30,Bosch - Thane East,,available,False,normal
189,2025-12-15,15:30,Pitstop - Ghodbunder,,available,False,normal
190,2025-12-15,15:30,GoMechanic - Wagle Estate,,available,False,normal
191,2025-12-15,15:30,CarWale - Kalwa,,available,False,normal
192,2025-12-15,15:30,Autofit - Pokhran Road,,available,False,normal
193,2025-12-15,15:30,CarFix - Kasarvadavali,,available,False,normal
194,2025-12-15,15:30,MyTVS - Manpada,,available,False,normal
